"card-img href","card-img src","card-rating","line-clamp","product-main-price","line-clamp href 2","md-text-base","md-text-xs","md-text-base 2","md-text-xs 2"
"https://uk.webuy.com/product-detail?id=5055277055739&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=517","https://uk.static.webuy.com/resize_images/Gaming/Playstation5%20Software/5055277055739_l.jpg","5","Demon Slayer Kimetsu no Yaiba: The Hinokami Chronicles 2","£42.00","https://uk.webuy.com/sell/product-detail?id=5055277055739&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=517","£27.00","Trade in for Voucher","£19.00","Trade in for Cash"
"https://uk.webuy.com/product-detail?id=5055277040711&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=518","https://uk.static.webuy.com/resize_images/Gaming/Playstation5%20Software/5055277040711_l.jpg","5","Puyo Puyo Tetris 2","£10.00","https://uk.webuy.com/sell/product-detail?id=5055277040711&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=518","£6.00","Trade in for Voucher","£4.00","Trade in for Cash"
"https://uk.webuy.com/product-detail?id=5016488140614&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=519","https://uk.static.webuy.com/resize_images/Gaming/Playstation5%20Software/5016488140614_l.jpg","5","Double Dragon Gaiden: Rise of the Dragons","£15.00","https://uk.webuy.com/sell/product-detail?id=5016488140614&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=519","£9.00","Trade in for Voucher","£6.00","Trade in for Cash"
"https://uk.webuy.com/product-detail?id=5016488139274&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=520","https://uk.static.webuy.com/resize_images/Gaming/Playstation5%20Software/5016488139274_l.jpg","5","Soulstice (No DLC)","£6.00","https://uk.webuy.com/sell/product-detail?id=5016488139274&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=520","£3.00","Trade in for Voucher","£2.00","Trade in for Cash"
"https://uk.webuy.com/product-detail?id=5016488139052&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=521","https://uk.static.webuy.com/resize_images/Gaming/Playstation5%20Software/5016488139052_l.jpg","5","FOBIA: St. Dinfna Hotel","£10.00","https://uk.webuy.com/sell/product-detail?id=5016488139052&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=521","£6.00","Trade in for Voucher","£4.00","Trade in for Cash"
"https://uk.webuy.com/product-detail?id=5016488137393&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=522","https://uk.static.webuy.com/resize_images/Gaming/Playstation5%20Software/5016488137393_l.jpg","5","Astria Ascending","£10.00","https://uk.webuy.com/sell/product-detail?id=5016488137393&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=522","£6.00","Trade in for Voucher","£4.00","Trade in for Cash"
"https://uk.webuy.com/product-detail?id=5055277044528&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=523","https://uk.static.webuy.com/resize_images/Gaming/Playstation5%20Software/5055277044528_l.jpg","4.9","Super Monkey Ball Banana Mania","£15.00","https://uk.webuy.com/sell/product-detail?id=5055277044528&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=523","£9.00","Trade in for Voucher","£6.00","Trade in for Cash"
"https://uk.webuy.com/product-detail?id=5030944123867&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=524","https://uk.static.webuy.com/resize_images/Gaming/Playstation5%20Software/5030944123867_l.jpg","4.9","NHL 22","£10.00","https://uk.webuy.com/sell/product-detail?id=5030944123867&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=524","£6.00","Trade in for Voucher","£4.00","Trade in for Cash"
"https://uk.webuy.com/product-detail?id=745240209850&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=525","https://uk.static.webuy.com/product_images/Gaming/Playstation5%20Software/745240209850_l.jpg","4.7","World War Z: Aftermath","£18.00","https://uk.webuy.com/sell/product-detail?id=745240209850&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=525","£11.00","Trade in for Voucher","£8.00","Trade in for Cash"
"https://uk.webuy.com/product-detail?id=5060264378166&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=526","https://uk.static.webuy.com/resize_images/Gaming/Playstation5%20Software/5060264378166_l.jpg","4.7","Bramble: The Mountain King","£15.00","https://uk.webuy.com/sell/product-detail?id=5060264378166&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=526","£9.00","Trade in for Voucher","£6.00","Trade in for Cash"
"https://uk.webuy.com/product-detail?id=5060188673774&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=527","https://uk.static.webuy.com/resize_images/Gaming/Playstation5%20Software/5060188673774_l.jpg","4.5","Martha Is Dead","£15.00","https://uk.webuy.com/sell/product-detail?id=5060188673774&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=527","£9.00","Trade in for Voucher","£6.00","Trade in for Cash"
"https://uk.webuy.com/product-detail?id=5030936123882&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=5BA1D49F0A8A4A7308FE736069523994&position=528","https://uk.static.webuy.com/resize_images/Gaming/Playstation5%20Software/5030936123882_l.jpg","4.5","Madden NFL 22","£6.00","https://uk.webuy.com/sell/product-detail?id=5030936123882&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=5BA1D49F0A8A4A7308FE736069523994&position=528","£2.00","Trade in for Voucher","£1.50","Trade in for Cash"
"https://uk.webuy.com/product-detail?id=5030934124317&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=5BA1D49F0A8A4A7308FE736069523994&position=529","https://uk.static.webuy.com/resize_images/Gaming/Playstation5%20Software/5030934124317_l.jpg","4.5","Madden 23","£5.00","https://uk.webuy.com/sell/product-detail?id=5030934124317&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=5BA1D49F0A8A4A7308FE736069523994&position=529","£1.90","Trade in for Voucher","£1.20","Trade in for Cash"
"https://uk.webuy.com/product-detail?id=8057168502374&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=5BA1D49F0A8A4A7308FE736069523994&position=530","https://uk.static.webuy.com/resize_images/Gaming/Playstation5%20Software/8057168502374_l.jpg","4.4","MotoGP 21","£12.00","https://uk.webuy.com/sell/product-detail?id=8057168502374&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=5BA1D49F0A8A4A7308FE736069523994&position=530","£7.00","Trade in for Voucher","£5.00","Trade in for Cash"
